2	0	0
6	1	2
7	0	6
9	0	7
13	0	9
16	2	13
19	0	13
20	2	19
21	2	19
34	2	9
39	2	7
40	0	6
42	0	40
46	0	42
49	1	46
50	2	49
51	2	49
58	1	46
59	0	58
60	2	59
61	2	59
62	0	58
63	2	62
64	2	62
81	2	42
86	2	40
87	0	6
89	0	87
93	0	89
96	2	93
99	0	93
100	2	99
101	2	99
114	2	89
117	2	87
118	0	6
120	0	118
124	0	120
127	2	124
130	0	124
131	2	130
132	2	130
143	2	120
152	1	118
153	2	152
154	2	152
163	0	2
165	2	163
170	1	163
171	2	170
172	2	170
185	1	0
189	0	185
195	2	189
197	1	189
200	2	197
203	2	197
211	0	185
212	1	211
215	0	212
217	0	215
219	1	217
222	0	219
225	2	222
228	0	222
229	2	228
230	2	228
241	0	219
243	2	241
245	0	241
246	2	245
247	1	245
248	2	247
249	2	247
257	2	217
265	2	215
275	1	212
276	0	275
278	0	276
282	0	278
285	2	282
290	0	282
291	2	290
292	2	290
302	2	278
306	1	276
307	2	306
308	2	306
309	0	275
311	0	309
315	0	311
318	1	315
319	2	318
320	2	318
323	0	315
324	2	323
325	2	323
336	2	311
341	2	309
342	0	275
344	0	342
345	1	344
348	0	345
351	2	348
354	0	348
355	2	354
356	2	354
367	0	345
370	2	367
373	0	367
374	2	373
375	2	373
382	2	344
386	1	342
387	2	386
388	2	386
389	2	386
390	0	275
392	0	390
395	0	392
397	2	395
399	0	395
400	2	399
401	2	399
411	2	392
416	2	390
417	0	275
419	0	417
422	0	419
425	2	422
428	0	422
429	2	428
430	2	428
440	2	419
443	2	417
444	0	275
446	0	444
450	0	446
453	2	450
456	0	450
457	2	456
458	2	456
469	2	446
474	2	444
475	0	275
477	0	475
481	0	477
484	2	481
487	0	481
488	2	487
489	2	487
500	2	477
509	1	475
510	2	509
511	2	509
512	0	275
514	0	512
517	0	514
520	2	517
523	0	517
524	2	523
525	2	523
535	2	514
542	2	512
552	2	211
564	0	0
565	1	564
569	0	565
571	0	569
575	0	571
578	2	575
581	0	575
582	2	581
583	2	581
594	2	571
603	1	569
606	2	603
611	1	603
612	2	611
613	2	611
621	1	565
622	0	621
624	0	622
628	0	624
631	2	628
634	0	628
635	2	634
636	2	634
649	2	624
656	2	622
657	0	621
662	0	657
665	2	662
668	0	662
669	2	668
670	2	668
688	1	657
689	2	688
690	2	688
691	0	621
693	0	691
697	0	693
700	2	697
703	0	697
704	2	703
705	2	703
716	2	693
719	1	691
722	2	719
725	2	719
734	0	565
735	0	734
739	0	735
742	1	739
743	2	742
744	2	742
747	0	739
748	1	747
749	2	748
750	2	748
751	1	747
752	2	751
753	2	751
770	2	735
774	1	734
775	2	774
776	2	774
784	1	565
786	0	784
787	1	786
789	0	787
792	0	789
795	2	792
798	0	792
799	2	798
800	2	798
810	2	789
817	0	787
820	2	817
823	0	817
824	2	823
825	2	823
838	1	786
841	2	838
844	2	838
847	2	838
850	1	784
851	0	850
855	0	851
858	2	855
861	0	855
862	2	861
863	2	861
873	2	851
874	0	850
876	0	874
879	0	876
882	2	879
885	0	879
886	2	885
887	2	885
899	2	876
904	2	874
905	0	850
907	0	905
911	0	907
914	1	911
915	2	914
916	2	914
919	0	911
920	2	919
921	2	919
931	2	907
935	1	905
936	2	935
937	2	935
943	0	850
946	2	943
949	0	943
950	2	949
951	2	949
959	0	850
961	0	959
965	0	961
968	2	965
971	0	965
972	2	971
973	2	971
984	2	961
989	1	959
990	2	989
991	2	989
992	0	850
994	0	992
998	0	994
1001	2	998
1004	0	998
1005	2	1004
1006	2	1004
1015	2	994
1018	2	992
1019	0	850
1023	1	1019
1025	0	1023
1028	2	1025
1031	0	1025
1032	2	1031
1033	2	1031
1042	0	1023
1045	2	1042
1048	0	1042
1049	2	1048
1050	2	1048
1063	2	1019
1083	0	564
1085	1	1083
1087	2	1085
1090	2	1085
1093	2	1085
1096	2	1085
1107	1	1083
1111	2	1107
1117	1	1107
1118	2	1117
1119	2	1117
1120	2	1117
